idx,blocks,b,sizes,J_float,J_recon,tag,wall_s
26,"[[0], [1, 2], [3, 5], [4]]",4,"[1, 1, 2, 2]",np.float64(-5.662137425588298e-15),0,zero,14.09
27,"[[0], [1, 2], [3], [4, 5]]",4,"[1, 1, 2, 2]",np.float64(-4.168887457467463e-14),0,zero,14.61
28,"[[0, 3, 4], [1], [2], [5]]",4,"[1, 1, 1, 3]",np.float64(-2.525757381022231e-14),0,zero,15.25
29,"[[0, 3], [1, 4], [2], [5]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936487369),1/1260,ok,16.04
30,"[[0, 3], [1], [2, 4], [5]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936225357),1/1260,ok,15.95
31,"[[0, 3, 5], [1], [2], [4]]",4,"[1, 1, 1, 3]",np.float64(-2.0483614804334138e-14),0,zero,15.42
32,"[[0, 3], [1, 5], [2], [4]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936446291),1/1260,ok,16.4
33,"[[0, 3], [1], [2, 5], [4]]",4,"[1, 1, 2, 2]",np.float64(0.0007936507936349146),1/1260,ok,15.89
34,"[[0, 3], [1], [2], [4, 5]]",4,"[1, 1, 2, 2]",np.float64(-2.525757381022231e-14),0,zero,15.11
35,"[[0, 4], [1, 3], [2], [5]]",4,"[1, 1, 2, 2]",np.float64(0.012698412698409378),4/315,ok,15.99
36,"[[0], [1, 3, 4], [2], [5]]",4,"[1, 1, 1, 3]",np.float64(-1.9373391779708982e-14),0,zero,15.05
37,"[[0], [1, 3], [2, 4], [5]]",4,"[1, 1, 2, 2]",np.float64(-0.0011904761904851235),-1/840,ok,15.77
38,"[[0, 5], [1, 3], [2], [4]]",4,"[1, 1, 2, 2]",np.float64(-1.4488410471358293e-14),0,zero,14.04
