idx,blocks,b,sizes,J_float,J_recon,wall_s,count_perm
30,"[[0, 2, 4], [1, 3], [5]]",3,"[1, 2, 3]",np.float64(0.01746031746035004),11/630,206.08,ok
31,"[[0, 2], [1, 3, 4], [5]]",3,"[1, 2, 3]",np.float64(0.005555555555587788),1/180,233.61,ok
32,"[[0, 2, 5], [1, 3], [4]]",3,"[1, 2, 3]",np.float64(0.005555555555596059),1/180,227.81,ok
33,"[[0, 2], [1, 3, 5], [4]]",3,"[1, 2, 3]",np.float64(0.017460317460350927),11/630,147.15,ok
34,"[[0, 2], [1, 3], [4, 5]]",3,"[2, 2, 2]",np.float64(0.005555555555587788),1/180,107.45,ok
35,"[[0, 2, 4, 5], [1], [3]]",3,"[1, 1, 4]",np.float64(0.06666666666672072),1/15,96.85,ok
36,"[[0, 2, 4], [1, 5], [3]]",3,"[1, 2, 3]",np.float64(0.01746031746035137),11/630,129.91,ok
37,"[[0, 2, 4], [1], [3, 5]]",3,"[1, 2, 3]",np.float64(0.017460317460345154),11/630,119.0,ok
38,"[[0, 2, 5], [1, 4], [3]]",3,"[1, 2, 3]",np.float64(0.005555555555598224),1/180,115.32,ok
39,"[[0, 2], [1, 4, 5], [3]]",3,"[1, 2, 3]",np.float64(0.005555555555599279),1/180,112.9,ok
40,"[[0, 2], [1, 4], [3, 5]]",3,"[2, 2, 2]",np.float64(0.0023809523809823485),1/420,127.98,ok
41,"[[0, 2, 5], [1], [3, 4]]",3,"[1, 2, 3]",np.float64(0.0666666666667205),1/15,84.58,ok
42,"[[0, 2], [1, 5], [3, 4]]",3,"[2, 2, 2]",np.float64(0.005555555555592506),1/180,101.68,ok
43,"[[0, 2], [1], [3, 4, 5]]",3,"[1, 2, 3]",np.float64(0.06666666666671395),1/15,84.32,ok
44,"[[0, 3, 4], [1, 2], [5]]",3,"[1, 2, 3]",np.float64(0.06666666666672005),1/15,77.87,ok
