idx,blocks,b,sizes,J_float,J_recon,wall_s,count_perm
45,"[[0, 3], [1, 2, 4], [5]]",3,"[1, 2, 3]",np.float64(0.0055555555555861225),1/180,206.24,ok
46,"[[0, 3, 5], [1, 2], [4]]",3,"[1, 2, 3]",np.float64(0.06666666666672005),1/15,221.04,ok
47,"[[0, 3], [1, 2, 5], [4]]",3,"[1, 2, 3]",np.float64(0.005555555555596725),1/180,247.13,ok
48,"[[0, 3], [1, 2], [4, 5]]",3,"[2, 2, 2]",np.float64(0.06666666666672005),1/15,118.52,ok
49,"[[0, 4], [1, 2, 3], [5]]",3,"[1, 2, 3]",np.float64(0.06666666666671983),1/15,93.98,ok
50,"[[0], [1, 2, 3, 4], [5]]",3,"[1, 1, 4]",np.float64(8.748557434046234e-14),0,87.25,ok
51,"[[0, 5], [1, 2, 3], [4]]",3,"[1, 2, 3]",np.float64(8.026912468039882e-14),0,90.85,ok
52,"[[0], [1, 2, 3, 5], [4]]",3,"[1, 1, 4]",np.float64(0.0666666666667255),1/15,104.45,ok
53,"[[0], [1, 2, 3], [4, 5]]",3,"[1, 2, 3]",np.float64(8.748557434046234e-14),0,89.97,ok
54,"[[0, 4, 5], [1, 2], [3]]",3,"[1, 2, 3]",np.float64(9.015010959956271e-14),0,93.99,ok
55,"[[0, 4], [1, 2, 5], [3]]",3,"[1, 2, 3]",np.float64(0.005555555555587344),1/180,123.77,ok
56,"[[0, 4], [1, 2], [3, 5]]",3,"[2, 2, 2]",np.float64(0.005555555555595615),1/180,123.76,ok
57,"[[0, 5], [1, 2, 4], [3]]",3,"[1, 2, 3]",np.float64(0.06666666666672455),1/15,97.81,ok
58,"[[0], [1, 2, 4, 5], [3]]",3,"[1, 1, 4]",np.float64(0.06666666666672788),1/15,98.86,ok
59,"[[0], [1, 2, 4], [3, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555590785),1/180,111.09,ok
