idx,blocks,b,sizes,J_float,J_recon,wall_s,count_perm
0,"[[0, 1, 2, 3], [4], [5]]",3,"[1, 1, 4]",np.float64(8.748557434046234e-14),0,101.41,ok
1,"[[0, 1, 2, 4], [3], [5]]",3,"[1, 1, 4]",np.float64(0.06666666666671983),1/15,183.34,ok
2,"[[0, 1, 2], [3, 4], [5]]",3,"[1, 2, 3]",np.float64(8.748557434046234e-14),0,150.87,ok
3,"[[0, 1, 2, 5], [3], [4]]",3,"[1, 1, 4]",np.float64(8.026912468039882e-14),0,155.9,ok
4,"[[0, 1, 2], [3, 5], [4]]",3,"[1, 2, 3]",np.float64(0.0666666666667255),1/15,146.18,ok
5,"[[0, 1, 2], [3], [4, 5]]",3,"[1, 2, 3]",np.float64(8.748557434046234e-14),0,74.67,ok
6,"[[0, 1, 3, 4], [2], [5]]",3,"[1, 1, 4]",np.float64(0.06666666666672005),1/15,78.85,ok
7,"[[0, 1, 3], [2, 4], [5]]",3,"[1, 2, 3]",np.float64(0.0055555555555861225),1/180,88.63,ok
8,"[[0, 1, 3, 5], [2], [4]]",3,"[1, 1, 4]",np.float64(0.06666666666672005),1/15,82.99,ok
9,"[[0, 1, 3], [2, 5], [4]]",3,"[1, 2, 3]",np.float64(0.005555555555596725),1/180,95.62,ok
10,"[[0, 1, 3], [2], [4, 5]]",3,"[1, 2, 3]",np.float64(0.06666666666672005),1/15,80.39,ok
11,"[[0, 1, 4], [2, 3], [5]]",3,"[1, 2, 3]",np.float64(0.06666666666671983),1/15,80.19,ok
12,"[[0, 1], [2, 3, 4], [5]]",3,"[1, 2, 3]",np.float64(8.748557434046234e-14),0,75.25,ok
13,"[[0, 1, 5], [2, 3], [4]]",3,"[1, 2, 3]",np.float64(8.026912468039882e-14),0,75.34,ok
14,"[[0, 1], [2, 3, 5], [4]]",3,"[1, 2, 3]",np.float64(0.0666666666667255),1/15,85.1,ok
