idx,blocks,b,sizes,J_float,J_recon,wall_s,count_perm
75,"[[0, 5], [1, 3, 4], [2]]",3,"[1, 2, 3]",np.float64(0.0666666666667281),1/15,127.81,ok
76,"[[0], [1, 3, 4, 5], [2]]",3,"[1, 1, 4]",np.float64(0.0666666666667235),1/15,119.37,ok
77,"[[0], [1, 3, 4], [2, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555600611),1/180,136.68,ok
78,"[[0, 5], [1, 3], [2, 4]]",3,"[2, 2, 2]",np.float64(0.0055555555555964475),1/180,129.55,ok
79,"[[0], [1, 3, 5], [2, 4]]",3,"[1, 2, 3]",np.float64(0.017460317460346708),11/630,141.14,ok
80,"[[0], [1, 3], [2, 4, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555594116),1/180,128.47,ok
81,"[[0, 4, 5], [1], [2, 3]]",3,"[1, 2, 3]",np.float64(9.015010959956271e-14),0,94.59,ok
82,"[[0, 4], [1, 5], [2, 3]]",3,"[2, 2, 2]",np.float64(0.005555555555587344),1/180,120.05,ok
83,"[[0, 4], [1], [2, 3, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555595615),1/180,135.27,ok
84,"[[0, 5], [1, 4], [2, 3]]",3,"[2, 2, 2]",np.float64(0.06666666666672455),1/15,99.2,ok
85,"[[0], [1, 4, 5], [2, 3]]",3,"[1, 2, 3]",np.float64(0.06666666666672788),1/15,102.7,ok
86,"[[0], [1, 4], [2, 3, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555590785),1/180,122.83,ok
87,"[[0, 5], [1], [2, 3, 4]]",3,"[1, 2, 3]",np.float64(8.026912468039882e-14),0,93.61,ok
88,"[[0], [1, 5], [2, 3, 4]]",3,"[1, 2, 3]",np.float64(0.0666666666667255),1/15,101.59,ok
89,"[[0], [1], [2, 3, 4, 5]]",3,"[1, 1, 4]",np.float64(8.748557434046234e-14),0,93.55,ok
