idx,blocks,b,sizes,J_float,J_recon,wall_s,count_perm
60,"[[0, 5], [1, 2], [3, 4]]",3,"[2, 2, 2]",np.float64(8.026912468039882e-14),0,172.09,ok
61,"[[0], [1, 2, 5], [3, 4]]",3,"[1, 2, 3]",np.float64(0.0666666666667255),1/15,240.52,ok
62,"[[0], [1, 2], [3, 4, 5]]",3,"[1, 2, 3]",np.float64(8.748557434046234e-14),0,213.57,ok
63,"[[0, 3, 4, 5], [1], [2]]",3,"[1, 1, 4]",np.float64(8.948397578478762e-14),0,144.84,ok
64,"[[0, 3, 4], [1, 5], [2]]",3,"[1, 2, 3]",np.float64(0.0055555555555914515),1/180,132.31,ok
65,"[[0, 3, 4], [1], [2, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555600833),1/180,134.8,ok
66,"[[0, 3, 5], [1, 4], [2]]",3,"[1, 2, 3]",np.float64(0.005555555555594283),1/180,130.68,ok
67,"[[0, 3], [1, 4, 5], [2]]",3,"[1, 2, 3]",np.float64(0.005555555555595282),1/180,128.8,ok
68,"[[0, 3], [1, 4], [2, 5]]",3,"[2, 2, 2]",np.float64(0.0023809523809883992),1/420,149.75,ok
69,"[[0, 3, 5], [1], [2, 4]]",3,"[1, 2, 3]",np.float64(0.005555555555597724),1/180,126.03,ok
70,"[[0, 3], [1, 5], [2, 4]]",3,"[2, 2, 2]",np.float64(0.002380952380988288),1/420,138.28,ok
71,"[[0, 3], [1], [2, 4, 5]]",3,"[1, 2, 3]",np.float64(0.005555555555597946),1/180,119.52,ok
72,"[[0, 4, 5], [1, 3], [2]]",3,"[1, 2, 3]",np.float64(0.06666666666672466),1/15,98.1,ok
73,"[[0, 4], [1, 3, 5], [2]]",3,"[1, 2, 3]",np.float64(0.017460317460354036),11/630,115.54,ok
74,"[[0, 4], [1, 3], [2, 5]]",3,"[2, 2, 2]",np.float64(0.0023809523809836808),1/420,116.01,ok
